iteration,total_timesteps,loss,approx_kl,explained_variance,entropy_loss,learning_rate
139,1138688,124.02976989746094,0.0058587464,0.9975256680045277,-9.860595895349979,<function linear_schedule.<locals>.func at 0x0000020697778720>
140,1146880,179.3975372314453,0.0050721173,0.997044620802626,-9.830490244925022,<function linear_schedule.<locals>.func at 0x0000020697778720>
141,1155072,171.16795349121094,0.005015194,0.9858427997678518,-9.817806504666805,<function linear_schedule.<locals>.func at 0x0000020697778720>
142,1163264,174.57159423828125,0.0075373873,0.9725605603307486,-9.831658978760242,<function linear_schedule.<locals>.func at 0x0000020697778720>
143,1171456,131.9027099609375,0.005922197,0.9883116167038679,-9.825432279706002,<function linear_schedule.<locals>.func at 0x0000020697778720>
144,1179648,90.2857666015625,0.0072270688,0.9975697202607989,-9.789800156652927,<function linear_schedule.<locals>.func at 0x0000020697778720>
145,1187840,98.78926086425781,0.0050972737,0.9939485969953239,-9.751129041612149,<function linear_schedule.<locals>.func at 0x0000020697778720>
146,1196032,166.48243713378906,0.005604854,0.9903905764222145,-9.719355536997318,<function linear_schedule.<locals>.func at 0x0000020697778720>
147,1204224,442.8905944824219,0.0048204367,0.9907382559031248,-9.696317338943482,<function linear_schedule.<locals>.func at 0x0000020697778720>
148,1212416,79.4019546508789,0.0068145734,0.994867667555809,-9.698220159113408,<function linear_schedule.<locals>.func at 0x0000020697778720>
149,1220608,66.54376983642578,0.0053595784,0.9984655184671283,-9.707197481393814,<function linear_schedule.<locals>.func at 0x0000020697778720>
150,1228800,4229.193359375,0.0068608643,0.9498083628714085,-9.712333224713802,<function linear_schedule.<locals>.func at 0x0000020697778720>
151,1236992,20.660749435424805,0.007625823,0.9564266614615917,-9.74100814908743,<function linear_schedule.<locals>.func at 0x0000020697778720>
152,1245184,530.0347900390625,0.0060021174,0.9861586326733232,-9.74256934672594,<function linear_schedule.<locals>.func at 0x0000020697778720>
153,1253376,48.10969161987305,0.0069380538,0.9963178187608719,-9.750512526929379,<function linear_schedule.<locals>.func at 0x0000020697778720>
154,1261568,36.930362701416016,0.0067824246,0.9907902013510466,-9.747429294884205,<function linear_schedule.<locals>.func at 0x0000020697778720>
155,1269760,29.512231826782227,0.007133981,0.9980588202597573,-9.757025976479053,<function linear_schedule.<locals>.func at 0x0000020697778720>
156,1277952,29.520692825317383,0.0063397875,0.9980315268039703,-9.75917378515005,<function linear_schedule.<locals>.func at 0x0000020697778720>
157,1286144,25.82181167602539,0.006853146,0.9981905586319044,-9.743240824341774,<function linear_schedule.<locals>.func at 0x0000020697778720>
158,1294336,33.0120849609375,0.0063864514,0.9989143188577145,-9.75535096526146,<function linear_schedule.<locals>.func at 0x0000020697778720>
159,1302528,42.07392883300781,0.0060349223,0.9978242286015302,-9.76033074259758,<function linear_schedule.<locals>.func at 0x0000020697778720>
160,1310720,52.05302429199219,0.0056334976,0.9965206570923328,-9.759397968649864,<function linear_schedule.<locals>.func at 0x0000020697778720>
161,1318912,38.46961212158203,0.0067922017,0.9991831047809683,-9.78941951841116,<function linear_schedule.<locals>.func at 0x0000020697778720>
162,1327104,35.1314582824707,0.0058946484,0.9977724174968898,-9.833029186725616,<function linear_schedule.<locals>.func at 0x0000020697778720>
163,1335296,3.2099108695983887,0.008208056,0.9994019036530517,-9.832596257328987,<function linear_schedule.<locals>.func at 0x0000020697778720>
164,1343488,6.403056621551514,0.006859542,0.9985783840529621,-9.806437280774116,<function linear_schedule.<locals>.func at 0x0000020697778720>
165,1351680,12.555264472961426,0.0062554297,0.9980749423848465,-9.80823889374733,<function linear_schedule.<locals>.func at 0x0000020697778720>
166,1359872,1921.52978515625,0.004786362,0.9930336158722639,-9.822886656224728,<function linear_schedule.<locals>.func at 0x0000020697778720>
167,1368064,62.197547912597656,0.0047181086,0.9955956488847733,-9.819577926397324,<function linear_schedule.<locals>.func at 0x0000020697778720>
168,1376256,74.09537506103516,0.00440199,0.9978496804833412,-9.823622195422649,<function linear_schedule.<locals>.func at 0x0000020697778720>
169,1384448,30.02668571472168,0.0059458152,0.9985841242596507,-9.81578595638275,<function linear_schedule.<locals>.func at 0x0000020697778720>
170,1392640,225.93563842773438,0.0056622503,0.9719772208482027,-9.784630252420902,<function linear_schedule.<locals>.func at 0x0000020697778720>
171,1400832,7.975233554840088,0.009315043,0.9588979184627533,-9.78100764900446,<function linear_schedule.<locals>.func at 0x0000020697778720>
172,1409024,21.858182907104492,0.0060254084,0.9928427143022418,-9.772031496465207,<function linear_schedule.<locals>.func at 0x0000020697778720>
173,1417216,42.1262092590332,0.006973957,0.9972656390164047,-9.789972972869872,<function linear_schedule.<locals>.func at 0x0000020697778720>
174,1425408,21.745647430419922,0.005747662,0.9931054450571537,-9.805005979537963,<function linear_schedule.<locals>.func at 0x0000020697778720>
175,1433600,16.141462326049805,0.0060326243,0.9980075359344482,-9.80286613702774,<function linear_schedule.<locals>.func at 0x0000020697778720>
176,1441792,70.44257354736328,0.0054973853,0.993661155924201,-9.81792856156826,<function linear_schedule.<locals>.func at 0x0000020697778720>
177,1449984,67.65928649902344,0.006309618,0.9951324323192239,-9.829645805060863,<function linear_schedule.<locals>.func at 0x0000020697778720>
178,1458176,243.70794677734375,0.0043635867,0.982466921210289,-9.824838607013225,<function linear_schedule.<locals>.func at 0x0000020697778720>
179,1466368,963.6423950195312,0.0058543514,0.9868627032265067,-9.835844239592552,<function linear_schedule.<locals>.func at 0x0000020697778720>
180,1474560,325.6089172363281,0.004208109,0.9884081576019526,-9.82438554018736,<function linear_schedule.<locals>.func at 0x0000020697778720>
181,1482752,19.523099899291992,0.0074291695,0.9505322501063347,-9.787330083549023,<function linear_schedule.<locals>.func at 0x0000020697778720>
182,1490944,11.813965797424316,0.0074034594,0.9428939782083035,-9.76144137084484,<function linear_schedule.<locals>.func at 0x0000020697778720>
183,1499136,13.489741325378418,0.0066396967,0.9718480408191681,-9.739302270114422,<function linear_schedule.<locals>.func at 0x0000020697778720>
184,1507328,7.921135425567627,0.008563689,0.9335231259465218,-9.717673774063588,<function linear_schedule.<locals>.func at 0x0000020697778720>
185,1515520,4499.2626953125,0.004512986,0.9916380541399121,-9.720792619884014,<function linear_schedule.<locals>.func at 0x0000020697778720>
186,1523712,9.361920356750488,0.0075685745,0.9947125888429582,-9.726284739375114,<function linear_schedule.<locals>.func at 0x0000020697778720>
187,1531904,132.333740234375,0.0059385677,0.9901793180033565,-9.717163036763669,<function linear_schedule.<locals>.func at 0x0000020697778720>
188,1540096,29.526145935058594,0.0060927644,0.998222102643922,-9.689253756403923,<function linear_schedule.<locals>.func at 0x0000020697778720>
189,1548288,12.200581550598145,0.006929149,0.9986888183047995,-9.674095784127712,<function linear_schedule.<locals>.func at 0x0000020697778720>
190,1556480,62.321346282958984,0.0045846817,0.9916678071022034,-9.675141079723835,<function linear_schedule.<locals>.func at 0x0000020697778720>
191,1564672,64.37890625,0.004963999,0.983655983582139,-9.680787473917007,<function linear_schedule.<locals>.func at 0x0000020697778720>
192,1572864,166.90957641601562,0.005088725,0.9966164617799222,-9.690345954895019,<function linear_schedule.<locals>.func at 0x0000020697778720>
193,1581056,185.9498291015625,0.0044958703,0.9964037528261542,-9.683515080809594,<function linear_schedule.<locals>.func at 0x0000020697778720>
194,1589248,268.7792053222656,0.0053993263,0.9715309292078018,-9.675901925563812,<function linear_schedule.<locals>.func at 0x0000020697778720>
195,1597440,7.759538173675537,0.0074129514,0.9435181245207787,-9.673863995075227,<function linear_schedule.<locals>.func at 0x0000020697778720>
196,1605632,3.8633687496185303,0.008910768,0.9182134568691254,-9.663134132325649,<function linear_schedule.<locals>.func at 0x0000020697778720>
197,1613824,61.697731018066406,0.0070517976,0.971064941957593,-9.654661010205746,<function linear_schedule.<locals>.func at 0x0000020697778720>
198,1622016,5.182826519012451,0.0074140495,0.9994029321242124,-9.629036338627339,<function linear_schedule.<locals>.func at 0x0000020697778720>
199,1630208,11.239456176757812,0.007006657,0.999369616212789,-9.622885696589947,<function linear_schedule.<locals>.func at 0x0000020697778720>
200,1638400,5.8737406730651855,0.008722188,0.9996683785575442,-9.61722124069929,<function linear_schedule.<locals>.func at 0x0000020697778720>
201,1646592,32.925777435302734,0.0047941087,0.9899502005428076,-9.612823295593262,<function linear_schedule.<locals>.func at 0x0000020697778720>
202,1654784,10.676905632019043,0.007186848,0.9973500191699713,-9.600890192389489,<function linear_schedule.<locals>.func at 0x0000020697778720>
203,1662976,5242.60595703125,0.0052956976,0.9950106875039637,-9.59445791989565,<function linear_schedule.<locals>.func at 0x0000020697778720>
204,1671168,249.0091552734375,0.004988034,0.9984832243062556,-9.601603880524635,<function linear_schedule.<locals>.func at 0x0000020697778720>
205,1679360,3641.500732421875,0.004031607,0.986154361627996,-9.612326595187188,<function linear_schedule.<locals>.func at 0x0000020697778720>
206,1687552,11.374821662902832,0.0076159774,0.927286721765995,-9.597939667105674,<function linear_schedule.<locals>.func at 0x0000020697778720>
207,1695744,12.12774658203125,0.0059674876,0.9752753153443336,-9.59472302943468,<function linear_schedule.<locals>.func at 0x0000020697778720>
208,1703936,104.0315170288086,0.004717654,0.9922459293156862,-9.598283633589745,<function linear_schedule.<locals>.func at 0x0000020697778720>
209,1712128,4.134893894195557,0.008368986,0.9997188891284168,-9.596253792941571,<function linear_schedule.<locals>.func at 0x0000020697778720>
210,1720320,816.9239501953125,0.0030898417,0.9801554325968027,-9.600786823034287,<function linear_schedule.<locals>.func at 0x0000020697778720>
211,1728512,6.368395805358887,0.0070951935,0.9580014087259769,-9.61692217439413,<function linear_schedule.<locals>.func at 0x0000020697778720>
212,1736704,32.5515251159668,0.006531628,0.9301661252975464,-9.62818172723055,<function linear_schedule.<locals>.func at 0x0000020697778720>
